epoch,accuracy,loss,val_accuracy,val_loss
0,0.7454519867897034,0.4975653886795044,0.8346377015113831,0.36538568139076233
1,0.8678496479988098,0.3047187626361847,0.8545821905136108,0.3252781629562378
2,0.903451144695282,0.2289217710494995,0.8795758485794067,0.30412164330482483
3,0.9259745478630066,0.1810862272977829,0.8972481489181519,0.2642279863357544
4,0.9372362494468689,0.15314346551895142,0.9028023481369019,0.2753378450870514
5,0.9510409235954285,0.12425027042627335,0.8874021768569946,0.330610066652298
6,0.951907217502594,0.12282025814056396,0.8826053738594055,0.3340839147567749
7,0.9626100063323975,0.09421105682849884,0.909113883972168,0.3205559551715851
8,0.9675003290176392,0.08372966200113297,0.8967432379722595,0.36029061675071716
9,0.969791829586029,0.07600311189889908,0.9083564877510071,0.3284887969493866
10,0.9747939109802246,0.0656108409166336,0.892198920249939,0.45295679569244385
11,0.97613525390625,0.06302294135093689,0.890684187412262,0.3711435794830322
12,0.9790973663330078,0.057012710720300674,0.890684187412262,0.3848169147968292
