SMILES1,SMILES2
Cc1cccc(Nc2ccccc2C(O)=O)c1C,c1cc(ccn1)N=Nc1ccncc1
C(Cc1ccncc1)Cc1ccncc1,Cc1cccc(Nc2ccccc2C(O)=O)c1C
COc1ccc2cc(ccc2c1)C(C)C(O)=O,c1cc(ccn1)N=Nc1ccncc1
NNC(=O)C(=O)NN,NNC(=O)C1=C(O)c2ccccc2S(=O)(=O)N1
CC1=CC(=NN1)C=Nc1ccccc1O,CC1=NNC(=C1)C=Nc1ccccc1O
Clc1ccccc1Cl,O=C1C=Cc2c3C=CC(=O)c4ccc5ccc6ccc1c2c6c5c34
N1c2cccc3cccc(N=C1c1ncccn1)c23,Nc1cccc2cccc(N)c12
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,OC(=O)C=Cc1ccccc1
COc1cc(cc(OC)c1OC)C=C1N=C(C)N(C)C1=O,Fc1c(F)c(Br)c(F)c(F)c1Br
COc1cc(cc(OC)c1OC)C=C1N=C(C)N(C)C1=O,N#Cc1cc(C#N)c(cc1C#N)C#N
COc1cc(cc(OC)c1OC)C=C1N=C(C)N(C)C1=O,Fc1c(F)c(I)c(F)c(F)c1I
COc1cc(cc(OC)c1OC)C=C1N=C(C)N(C)C1=O,Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F
N#Cc1cc(C#N)c(cc1C#N)C#N,c1ccc2c(c1)N(c1ccc(cc1)c1ccc(cc1)N1c3ccccc3c3ccccc13)c1ccccc21
O=C1c2cccc(c2C(=O)c2c1cccc2N(=O)=O)N(=O)=O,c1cc2ccc3cccc4ccc(c1)c2c34
O=C1NC=CC=C1,OC(=O)Cc1ccccc1
O=C1NC=CC=C1,OC(=O)Cc1ccc(Cl)cc1
O=C1NC=CC=C1,OC(=O)Cc1cccc2ccccc12
O=C1NC=CC=C1,OC(=O)Cc1ccc2ccccc2c1
C1CSCCN1,Fc1c(F)c(I)c(F)c(F)c1I
CN1C=NC(=C1N(=O)=O)N(=O)=O,O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O
COCCOCCOc1ccc(nc1)C1=CC=CC2=NC3(CCCC4=C3Nc3c4cccc3c3cc4ccc5cccc6ccc(c3)c4c56)N=C12,O=C1C(=O)c2cccnc2c2ncccc12
NC(N)=S,O=C1C(=O)c2ccccc2c2ccccc12
O=C1CNC(=O)CN1,OC(=O)C#C
O=C1CNC(=O)CN1,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O
O=C1CNC(=O)CN1,Oc1cc(Cl)c(O)cc1Cl
O=C1CNC(=O)CN1,OC(=O)c1cc(O)ccc1O
O=C1CNC(=O)CN1,OC(=O)c1cc(Cl)ccc1O
O=C1CNC(=O)CN1,OC(=O)C=CC(O)=O
O=C1CNC(=O)CN1,OC(=O)c1cc(O)c(cc1O)C(O)=O
